tmdbId,genres
11970,"Animation, Family, Fantasy, Adventure, Comedy, Romance"
168672,"Drama, Crime"
395992,"Horror, Science Fiction, Mystery, Thriller"
44912,"Adventure, Action, Thriller, Science Fiction"
458723,"Horror, Thriller, Mystery"
621,"Romance, Comedy"
62213,"Comedy, Fantasy"
10192,"Comedy, Adventure, Fantasy, Animation, Family"
7326,"Comedy, Drama, Romance"
163,"Thriller, Crime"
587,"Adventure, Fantasy, Drama"
1824,"Comedy, Romance"
363676,"Drama, History"
295693,"Animation, Comedy, Family"
385128,"Action, Adventure, Crime"
20526,"Adventure, Action, Science Fiction"
376867,Drama
8363,Comedy
384018,"Action, Adventure, Comedy"
49519,"Animation, Adventure, Family, Fantasy, Comedy, Action"
331,"Adventure, Action, Thriller, Science Fiction"
158852,"Adventure, Family, Mystery, Science Fiction"
195589,Comedy
324852,"Action, Animation, Comedy, Family, Adventure"
328387,"Mystery, Adventure, Crime"
949,"Action, Crime, Drama"
427641,"Action, Adventure, Science Fiction"
7191,"Action, Thriller, Science Fiction"
9339,"Comedy, Drama, Fantasy"
616037,"Fantasy, Action, Comedy"
773,"Comedy, Drama"
75780,"Crime, Drama, Thriller, Action"
37735,Comedy
1734,"Adventure, Action, Fantasy"
109424,"Action, Drama, Thriller"
315162,"Animation, Family, Fantasy, Adventure, Comedy, Action"
98566,"Science Fiction, Action, Adventure, Comedy"
10527,"Family, Adventure, Animation, Comedy"
49444,"Animation, Family"
11321,Drama
76757,"Science Fiction, Fantasy, Action"
4247,Comedy
10201,"Comedy, Romance"
9543,"Adventure, Fantasy, Action"
38055,"Animation, Action, Comedy, Family, Science Fiction"
527774,"Animation, Family, Fantasy, Action, Adventure"
381283,"Drama, Thriller, Horror"
11224,"Family, Fantasy, Animation, Romance"
37135,"Family, Adventure, Animation, Drama"
68728,"Fantasy, Adventure, Family"
81188,"Family, Animation, Fantasy, Action, Adventure"
262504,"Adventure, Science Fiction, Action, Mystery"
188927,"Action, Adventure, Science Fiction"
6957,"Comedy, Romance"
117263,"Action, Thriller"
615457,"Action, Crime, Thriller"
114150,"Comedy, Music, Romance"
82700,"Science Fiction, Action, Adventure"
398978,"Crime, Drama, History"
257211,Comedy
37686,"Thriller, Science Fiction, Mystery"
46195,"Animation, Adventure, Comedy, Family"
18240,"Comedy, Romance, Drama"
956,"Adventure, Action, Thriller"
4232,"Crime, Horror, Mystery"
955,"Adventure, Action, Thriller"
4011,"Fantasy, Comedy"
11688,"Adventure, Animation, Comedy, Family, Fantasy"
293863,"Romance, Fantasy, Drama"
439079,"Horror, Mystery, Thriller"
53182,"Action, Drama, War"
47964,"Action, Thriller"
322,"Thriller, Crime, Drama, Mystery"
334533,"Adventure, Drama"
364,"Action, Fantasy"
7345,Drama
43074,"Action, Fantasy, Comedy"
2649,"Drama, Thriller, Mystery"
44896,"Animation, Comedy, Family, Western, Adventure"
676,"War, History, Romance, Drama"
109414,"Action, Comedy"
320288,"Fantasy, Science Fiction, Action, Adventure"
51540,"Comedy, Crime"
10555,"Animation, Action, Comedy, Family"
567,"Thriller, Mystery"
207932,"Mystery, Thriller, Action"
270303,"Horror, Mystery"
22881,Drama
57214,Comedy
18823,"Adventure, Fantasy, Action"
298,"Crime, Thriller"
203801,"Comedy, Action, Adventure"
2059,"Adventure, Action, Thriller, Mystery"
86834,"Drama, Adventure"
184,Crime
766507,"Thriller, Action, Science Fiction"
927,"Fantasy, Horror, Comedy"
166428,"Animation, Family, Adventure"
380,Drama
12230,"Adventure, Animation, Comedy, Family"
9325,"Family, Animation, Adventure"
782,"Thriller, Science Fiction, Mystery, Romance"
82654,"Horror, Comedy, Romance"
9737,"Action, Comedy, Crime, Thriller"
449176,"Comedy, Drama, Romance"
250546,Horror
335988,"Action, Adventure, Science Fiction"
440021,"Horror, Mystery, Comedy"
644,"Drama, Science Fiction, Adventure"
331482,"Drama, Romance"
420809,"Family, Fantasy, Adventure, Action"
520763,"Science Fiction, Thriller, Horror"
508439,"Family, Animation, Adventure, Comedy, Fantasy"
5255,"Animation, Adventure, Family, Fantasy"
49017,"Horror, Action, Fantasy"
88,"Drama, Music, Romance"
1368,"Action, Adventure, Thriller, War"
47933,"Action, Adventure, Science Fiction"
238713,"Action, Comedy, Crime"
11544,"Animation, Family"
80321,"Animation, Family, Comedy, Adventure"
424783,"Action, Adventure, Science Fiction"
20504,"Action, Thriller, Science Fiction"
302946,"Crime, Thriller, Drama"
788,"Comedy, Drama, Family"
242,"Crime, Drama, Thriller"
8467,Comedy
2300,"Family, Animation, Comedy, Science Fiction"
1572,"Action, Thriller"
1637,"Action, Adventure, Crime"
13053,"Animation, Family, Adventure, Comedy"
38365,Comedy
87502,Drama
333484,"Adventure, Action, Western"
497582,"Adventure, Mystery, Comedy, Crime"
57201,"Action, Adventure, Western"
545609,"Action, Thriller"
1597,"Comedy, Romance"
299687,"Science Fiction, Adventure, Action"
1250,"Thriller, Action, Fantasy"
505642,"Action, Adventure, Science Fiction"
302699,"Action, Comedy, Crime, Mystery"
436270,"Action, Adventure, Science Fiction"
36647,"Horror, Action"
22794,"Animation, Comedy, Family"
12092,"Animation, Family, Fantasy, Adventure"
10895,"Animation, Family"
83666,"Comedy, Drama, Romance"
80274,"Science Fiction, Action, Adventure"
460465,"Action, Fantasy, Adventure"
423108,"Horror, Mystery, Thriller"
755,"Horror, Action, Thriller, Crime"
389015,"Drama, Comedy"
